# Stable id<TAB>English display text. Dynamic patterns follow in later coverage pass.
ui_continue	CONTINUE
ui_continue_none	CONTINUE / unavailable
ui_new_game	NEW GAME
ui_controls	CONTROLS / HELP
ui_settings	ACCESSIBILITY / SETTINGS
ui_quit	QUIT
ui_resume	RESUME
ui_resume_dead	RESUME / dead
ui_save	MANUAL SAVE
ui_save_dead	SAVE / unavailable
ui_load	LOAD LAST SAVE
ui_checkpoint	RESTART CHECKPOINT
ui_checkpoint_none	CHECKPOINT / unavailable
ui_final_choice	REPLAY FINAL CHOICE
ui_final_none	PRE-FINAL / unavailable
ui_case	CASE FILE
ui_history	RECENT EVENTS
ui_dialogue	DIALOGUE HISTORY
ui_ending	ENDING SUMMARY
ui_ending_none	ENDING / not reached
ui_cancel	CANCEL
ui_fresh	START FRESH / existing saves retained
ui_boot_title	WRITEOVER-07 / THE RECORD IS NOT THE EVENT
ui_settings_title	ACCESSIBILITY / CHANGES SAVE AUTOMATICALLY
ui_new_title	NEW GAME / RESET ALL LIVE PROGRESSION?
ui_dead_title	YOU DIED / CHOOSE A RECOVERY POINT
ui_first_visit	FIRST VISIT? Controls shows your current bindings.
ui_explore	Explore, talk, and examine before committing to force.
ui_saved	Preference saved.
ui_save_failed	Preference active; persistence failed.
ui_nosave	No usable recent save. Choose New Game to begin.
ui_nocheckpoint	No checkpoint yet. Use Load Last Save or New Game.
ui_nofinal	Final-choice recovery becomes available near the campaign ending.
ui_noending	No ending reached in this playthrough.
ui_health	Health
ui_pistol	PISTOL
ui_stunner	STUNNER
ui_smg	SMG
ui_resize	RESIZE TERMINAL: minimum 48 x 18
ui_language_en	LANGUAGE / English
ui_language_zh	LANGUAGE / 简体中文
ui_focus	Focus lost. Resume when ready.
ui_scroll	SCROLL
ui_select	SELECT
ui_confirm	CONFIRM
ui_back	BACK
ui_more	SCROLL TO READ MORE
ui_paused	PAUSED
ui_sensory	SENSORY
ui_duration	TEXT DURATION
ui_subtitles	SUBTITLES
ui_contrast	HIGH CONTRAST
ui_shake	REDUCE SHAKE
ui_flicker	REDUCE FLICKER
ui_mouse	MOUSE SENSITIVITY
ui_volume	MASTER VOLUME
ui_cap	FRAME LIMIT
ui_auto	AUTO (UP TO 120)
ui_off	OFF
ui_on	ON
ui_important	IMPORTANT
ui_detailed	DETAILED
ui_short	SHORT
ui_normal	NORMAL
ui_long	LONG
